Item-code,Annual Demand,Unit price,TotalC,DPercentage,CPercentage,CummulativeCP,CummulativeDP,Class
ASMB-R9 ,20000,199.5,3990000.0,0.7142857142857143,0.12863110056343507,97.42465656568268,57.14285714285719,C
ASMB-R97 ,250870,15.66,3928624.2,0.7142857142857143,0.12665244474840717,97.55130901043108,57.857142857142904,C
ASMB-R47 ,112298,34.5,3874281.0,0.7142857142857143,0.12490050850175584,97.67620951893284,58.57142857142862,C
ASMB-R12 ,197000,18.0,3546000.0,0.7142857142857143,0.11431726380900771,97.79052678274185,59.285714285714334,C
ASMB-R24 ,74500,46.5,3464250.0,0.7142857142857143,0.11168177697415536,97.902208559716,60.00000000000005,C
ASMB-R45 ,8650,360.0,3114000.0,0.7142857142857143,0.1003902875074027,98.00259884722341,60.714285714285765,C
ASMB-R64 ,90620,33.0,2990460.0,0.7142857142857143,0.0964075591455965,98.099006406369,61.42857142857148,C
ASMB-R68 ,16600,180.0,2988000.0,0.7142857142857143,0.0963282527527679,98.19533465912177,62.142857142857196,C
ASMB-R27 ,222000,13.05,2897100.0,0.7142857142857143,0.09339778482263852,98.28873244394441,62.85714285714291,C
ASMB-R74 ,14135,201.6,2849616.0,0.7142857142857143,0.09186697801082044,98.38059942195524,63.571428571428626,C
ASMB-R128 ,31650,90.0,2848500.0,0.7142857142857143,0.09183099998870797,98.47243042194394,64.28571428571433,C
ASMB-R91 ,275134,9.9,2723826.6,0.7142857142857143,0.08781173265713269,98.56024215460107,65.00000000000004,C
ASMB-R111 ,7920,342.0,2708640.0,0.7142857142857143,0.08732214141106334,98.64756429601213,65.71428571428575,C
ASMB-R78 ,3626,579.6,2101629.6,0.7142857142857143,0.06775311489340648,98.71531741090554,66.42857142857146,C
ASMB-R4 ,12500,168.0,2100000.0,0.7142857142857143,0.06770057924391319,98.78301799014946,67.14285714285717,C
ASMB-R58 ,28000,75.0,2100000.0,0.7142857142857143,0.06770057924391319,98.85071856939338,67.85714285714288,C
ASMB-R21 ,243473,8.25,2008652.25,0.7142857142857143,0.06475567658313787,98.91547424597651,68.57142857142858,C
ASMB-R41 ,7000,285.0,1995000.0,0.7142857142857143,0.06431555028171754,98.97978979625823,69.28571428571429,C
ASMB-R93 ,3400,538.2,1829880.0000000002,0.7142857142857143,0.05899235045088185,99.03878214670911,70.0,C
ASMB-R76 ,30520,59.4,1812888.0,0.7142857142857143,0.058444556049685376,99.09722670275879,70.71428571428571,C
ASMB-R95 ,43119,41.4,1785126.5999999999,0.7142857142857143,0.05754957373510348,99.15477627649389,71.42857142857142,C
ASMB-R8 ,3200,483.0,1545600.0,0.7142857142857143,0.049827626323520106,99.20460390281741,72.14285714285712,C
ASMB-R90 ,38745,39.6,1534302.0,0.7142857142857143,0.049463397207187856,99.2540673000246,72.85714285714283,C
ASMB-R77 ,5321,288.0,1532448.0,0.7142857142857143,0.0494036272672268,99.30347092729183,73.57142857142854,C
ASMB-R96 ,6790,204.12,1385974.8,0.7142857142857143,0.044681569894031783,99.34815249718586,74.28571428571425,C
ASMB-R109 ,2835,484.02,1372196.7,0.7142857142857143,0.044237386393612466,99.39238988357948,74.99999999999996,C
ASMB-R23 ,3000,448.5,1345500.0,0.7142857142857143,0.043376728272707235,99.43576661185219,75.71428571428567,C
ASMB-R6 ,27000,49.5,1336500.0,0.7142857142857143,0.04308658293309047,99.47885319478527,76.42857142857137,C
ASMB-R133 ,31869,41.4,1319376.5999999999,0.7142857142857143,0.04253455240993559,99.5213877471952,77.14285714285708,C
ASMB-R25 ,38150,34.5,1316175.0,0.7142857142857143,0.04243133804112259,99.56381908523633,77.85714285714279,C
ASMB-R99 ,4530,280.8,1272024.0,0.7142857142857143,0.04100798172007592,99.6048270669564,78.5714285714285,C
ASMB-R20 ,34279,33.0,1131207.0,0.7142857142857143,0.036468271021318714,99.64129533797772,79.2857142857142,C
ASMB-R7 ,4700,240.0,1128000.0,0.7142857142857143,0.036364882565301945,99.67766022054303,79.99999999999991,C
ASMB-R26 ,6000,170.1,1020600.0,0.7142857142857143,0.03290248151254181,99.71056270205557,80.71428571428562,C
ASMB-R39 ,2500,403.35,1008375.0,0.7142857142857143,0.03250836742622903,99.7430710694818,81.42857142857133,C
ASMB-R63 ,28194,34.5,972693.0,0.7142857142857143,0.03135803786976174,99.77442910735157,82.14285714285704,C
ASMB-R29 ,4000,234.0,936000.0,0.7142857142857143,0.030175115320144167,99.80460422267171,82.85714285714275,C
ASMB-R83 ,39560,19.8,783288.0,0.7142857142857143,0.0252519291975268,99.82985615186924,83.57142857142846,C
ASMB-R103 ,157791,4.5,710059.5,0.7142857142857143,0.022891161641734943,99.85274731351097,84.28571428571416,C
ASMB-R13 ,35000,16.5,577500.0,0.7142857142857143,0.018617659292076125,99.87136497280305,84.99999999999987,C
ASMB-R33 ,139630,3.75,523612.5,0.7142857142857143,0.01688041407112071,99.88824538687417,85.71428571428558,C
ASMB-R85 ,2835,158.4,449064.0,0.7142857142857143,0.014477091865518397,99.90272247873969,86.42857142857129,C
ASMB-R81 ,3287,118.8,390495.6,0.7142857142857143,0.012588942053428297,99.91531142079312,87.142857142857,C
ASMB-R15 ,2500,132.0,330000.0,0.7142857142857143,0.01063866245261493,99.92595008324574,87.8571428571427,C
ASMB-R11 ,2900,99.0,287100.0,0.7142857142857143,0.009255636333774988,99.93520571957951,88.57142857142841,C
ASMB-R72 ,575,450.0,258750.0,0.7142857142857143,0.00834167851398216,99.9435473980935,89.28571428571412,C
ASMB-R114 ,129730,1.8,233514.0,0.7142857142857143,0.007528110981696735,99.9510755090752,89.99999999999983,C
ASMB-R86 ,12440,18.0,223920.0,0.7142857142857143,0.007218816049665258,99.95829432512487,90.71428571428554,C
ASMB-R2 ,500,375.0,187500.0,0.7142857142857143,0.006044694575349392,99.96433901970022,91.42857142857125,C
